رقم العميل,اسم العميل,المديونية (ريال),تمت حركة في 2026,حالة المبيعات,الإيقاف الكلي,رقم الجوال / الهاتف
1085,مؤسسة برجس مرزوق العتيبي للمقاولات,135885.20,نعم,نشط,نشط,0506247353
1751,مؤسسة الاتقان الحديث التجارية,133897.25,نعم,نشط,نشط,0559439856
1355,شركة سلام المطور التجارية شركة شخص واحد,130751.78,نعم,موقوف,نشط,0542278884
1118,مؤسسة ركن الاجهزة الكهربائية -سكاكا,130612.62,نعم,موقوف,نشط,0505391256
1313,مؤسسة زهره ربيع الحياه للتجاره -1,125473.73,نعم,نشط,نشط,0538339030 / 0534005398
1039,مؤسسة الشاطيء للتجاره,123961.39,نعم,نشط,نشط,0538027880
1721,مؤسسة فيرا المتحدة للتجارة,121913.95,نعم,نشط,نشط,+966566375383 / 0536422810
1640,شركة فنون راحتي للشقق المخدومة,119861.46,نعم,نشط,نشط,0501584177 / 0566773794
1825,شركة أسواق ايفور التجارية,119261.11,نعم,نشط,نشط,0547411652 / 0559215455
1169,مؤسسة محمد بلال للتجارة,118753.69,نعم,نشط,نشط,0543033505
1421,محمود سوري موزع,118031.90,نعم,نشط,نشط,
1661,مؤسسة حسن علي محمد ال مريع للمقاولات,117765.70,نعم,نشط,نشط,0558195980
1547,شركة توريدات السماحة للتجارة شركة شخص واحد,117612.15,نعم,نشط,نشط,0504425836 / 0536635042
1519,شركة الريادة المنزلية للتجارة,116006.90,نعم,موقوف,نشط,0507432392
1921,شركة حياة الشباب للتجارة,111468.25,نعم,نشط,نشط,0555871922 / 0555194033
1923,مؤسسة شمس تبوك للاجهزة الالكترونية,111064.00,نعم,نشط,نشط,0551159274
2159,اسواق توب اب فاميلي المركزية,109704.11,نعم,نشط,نشط,0504591647
2030,شركة البرق المضى التجارية,108561.60,نعم,نشط,نشط,0507376400 / 0540411115
1901,شركة النجم الساطع للاجهزة الالكترونية,108421.98,نعم,نشط,نشط,0598804805
2044,مؤسسة مشروع السرعة التجارية,105419.09,نعم,نشط,نشط,0598634104
2103,مؤسسة محمد عمر سعيد بافيل التجارية,104183.10,نعم,نشط,نشط,0505704715
1046,مؤسسة عصرية للادهزة الالكترونية,101541.14,نعم,نشط,نشط,0534285753
1031,مؤسسة ماجد بن عمر احمد باجابر,100771.10,نعم,موقوف,موقوف,0562888823
1545,مؤسسة دار  ريحانة للتجارة,100497.56,نعم,نشط,نشط,0530839028
1970,شركة افاق كيوتيك للتجارة العامة,100147.51,نعم,نشط,نشط,011
1931,شركة الجهاز العصري التجارية,99505.45,نعم,نشط,نشط,0508039834 / 0598944456
1745,مؤسسة الشامل المتميز التجارية,98703.15,نعم,نشط,نشط,0508337176
1067,مؤسسة علي احمد جابر ال مرحان التجارية,98155.37,نعم,موقوف,موقوف,0532035301
1972,شركة مخازن المملكة العالمية التجارية,97947.25,نعم,نشط,نشط,0534475103 / 0506956866
1717,مؤسسة ابراهيم عبده فلقي,96339.90,نعم,نشط,نشط,0505762426
1356,digital  najran,96303.49,نعم,نشط,نشط,0554656208
1774,شركة السعر المثالي للتجارة,95110.66,نعم,نشط,نشط,0598450428
1334,مؤسسة شمس النسيم,94983.96,نعم,نشط,نشط,0546214538
1988,محل الجزيرة دارك التجارية,94080.11,نعم,نشط,نشط,0501837770
1270,موسسه فرحان الشمري0550912890,92112.15,نعم,نشط,نشط,0550912890
1185,مؤسسة ركن ميلاف للتجارة,91712.48,نعم,موقوف,نشط,0561212098
1314,مؤسسة صدى الامتياز للتجارة,90149.25,نعم,نشط,نشط,0507900519
1962,مؤسسة يحي عبده بن فرج مبروك التجارية,89890.30,نعم,نشط,نشط,0538063009
1304,مؤسسة عالم التكيف للتجارة,89661.57,نعم,نشط,نشط,0505947854
1955,شركة هاف مليون المحدودة شخص واحد,87800.40,نعم,نشط,نشط,0544447284
2075,شركة اساس المجد النجارية,87329.29,نعم,نشط,نشط,0532277935
1656,مؤسسة مساعد علي الحارثي التجارية,86173.15,نعم,موقوف,نشط,0509786391
1199,شركة روية الجوهري للتكيف والتبريد,85799.65,نعم,نشط,نشط,0530828078
1305,مؤسسة لمسات السفر للتجارة,85374.96,نعم,نشط,نشط,0557071516
1982,فضه محمد عليان البلوي,83118.70,نعم,نشط,نشط,0500210250
1095,مؤسسة لك الاختيار للتجارة,82114.96,نعم,موقوف,نشط,0593965644
1122,موسسة نواف حمود البلوي للتجارة,80977.14,نعم,نشط,نشط,0563135194
1815,شركة كايا الاولى للتجارة,80831.40,نعم,نشط,نشط,0507070929
1311,مؤسسة عبد الله حمدان سعيد الدوسري (sony nasam ),79955.93,نعم,نشط,نشط,0530342480
1903,محل سلة عبدالله مرعي الوادعي,79320.37,نعم,نشط,نشط,0509637105
1409,مؤسسة منازل المستقبل للاجهزة,79113.37,نعم,موقوف,نشط,
2304,شركة الاضواء الحديثة المتكاملة,77627.80,نعم,نشط,نشط,0547624306
1250,مؤسسة علي احمد السلطان,77557.75,نعم,موقوف,نشط,0502912311
1358,موسسة الهلباء التجارية,76615.17,نعم,نشط,نشط,0533088316
1843,شركة اضواء الغربية العالمية التجارية,76388.26,نعم,نشط,نشط,0500039886
1044,مؤسسة زملة عبدالله مبارك التجارية,75786.37,نعم,موقوف,نشط,0502539630
1203,شركة ركا للتجارة,75617.39,نعم,نشط,نشط,0540093836
2140,مؤسسة تقنية الاسد لتجارة الجملة والتجزئة,75583.90,نعم,نشط,نشط,0559292250
1325,مؤسسة فهد علي حمد الحربي فرع 1,74771.64,نعم,نشط,نشط,0502224652
1369,محل استار للأجهزة الإلكترونية,72866.29,نعم,نشط,نشط,0530462082
1925,شركة البركة الرائدة للأجهزة المنزلية,72676.00,نعم,نشط,نشط,0506012659
1320,مؤسسة نبض النسيج,71509.03,نعم,نشط,نشط,0501293973
2105,شركة افاق رابية,69273.61,نعم,نشط,نشط,0542155427
1028,مؤسسة المحيط للأجهزة الالكترونية,69073.76,نعم,نشط,نشط,0561111389
1933,مؤسسة الهيبة الكاملة التجارية,68047.29,نعم,نشط,نشط,0566295842
1614,مؤسسة حبسة سلمان للتجارة,67581.17,نعم,موقوف,نشط,0554846443
1810,مؤسسة ملتقى بلص للتجارة,66912.68,نعم,نشط,نشط,0554878068
1285,مؤسسة دنيا الشرقية التجارية,66642.18,نعم,نشط,نشط,0555970471
1820,مؤسسة الرواد المميز للاجهزة المنزلية,65437.82,نعم,نشط,نشط,0544133325
1932,مؤسسة فواز عوض الحربي للتجارة,64775.00,نعم,نشط,نشط,0550585185
1129,مؤسسة اقبال الاحمدي -الميدنة,63728.80,نعم,نشط,نشط,0503335618
1556,شركة الثلج الابيض لاعمال التكييف,62362.41,نعم,نشط,نشط,0567664366
1228,موسسة سماء القمة للتجارة,62008.55,نعم,نشط,نشط,0508596077 / 0550545455
1832,مؤسسة سهاري الدهاليز التجارية,61525.55,نعم,نشط,نشط,0554367855 / 0554095728
2211,شركة ريم كول,60933.51,نعم,نشط,نشط,0537395327
1219,مؤسسة علي بن محمد بن حسين الغانم,60738.12,نعم,نشط,نشط,0566141570 / 0547653300
2142,شركة ركن المحيط التجارية,59998.20,نعم,نشط,نشط,0508847131
1598,شركة روائع الصيف والخريف للتجارة,58540.79,نعم,موقوف,نشط,0500732403
1354,محل معاذ مقبل بن ماطر المطيرى للأجهزة المنزلية,58214.52,نعم,نشط,نشط,0551151046
1883,مؤسسة البيت المثالي للاجهزة المنزلية,57813.26,نعم,نشط,نشط,0502224830
2113,مؤسسة الوسيم الجديد للتبريد والتكيف,57481.85,نعم,نشط,نشط,0566060071 / 0555556653
2072,مؤسسة السلام الافضل لتجارة الجملة والتجزئة,56912.45,نعم,نشط,نشط,0554332177
1542,مؤسسة النطاق الحر للتجارة,56778.40,نعم,موقوف,نشط,0550264423
1303,محل  عالم الجزيرة  للأجهزة الإلكترونية,54961.82,نعم,نشط,نشط,0508114597
1326,مؤسسة شبكة التميز للمقاولات,54099.24,نعم,نشط,نشط,0536002540 / 0561140704
2098,مؤسسة الصقر تمكين للاجهزة المنزلية,53844.20,نعم,نشط,نشط,0568168254
1037,مؤسسة الشامل مميز التجارية,53502.35,نعم,نشط,نشط,0508483342
1374,مؤسسة الوان الفيصل التجارية,53400.18,نعم,نشط,نشط,0509990899 / 0541957202
2158,شركة الربيع والشتاء للتجارة,53089.85,نعم,نشط,نشط,0569135712
1645,مؤسسة مرسال للاتصالات,52545.92,نعم,موقوف,نشط,0569811127
1010,مركز ابراهيم علي همدان,52487.50,نعم,موقوف,موقوف,0567392903
1159,شركة الاندلس للمعادن - المدينة,51240.86,نعم,موقوف,نشط,0590430009
1960,شركة عالم الاربعين للتجارة,50000.00,نعم,نشط,نشط,0555007715
1553,شركة دار التيار للتجارة,49817.64,نعم,نشط,نشط,0538035804
1234,موسسة بيتك الانيق للتجارة,49812.06,نعم,نشط,نشط,0538750605
1694,شركة المنطقة الكهربائية للاجهزة الالكترونية فرع المدينة,49518.50,نعم,موقوف,نشط,0537755610
2117,شركة نور سمارت,49480.63,نعم,نشط,نشط,0504994587
2173,شركة العين المعمورة التجارية,48662.98,نعم,نشط,نشط,0502572530
2020,مؤسسة ثمار الإنجاز للتكيف والتبريد,48541.08,نعم,نشط,نشط,0500072828 / 0598483631
1616,محمد عوض بن دحيان,48519.00,نعم,نشط,نشط,
1352,شركة كنز العالمية المحدوده,48342.89,نعم,نشط,نشط,0556963707
2334,مؤسسة تيكنو وينتر,47700.70,نعم,نشط,نشط,0505707424
1764,شركة امل الخليج للاجهزة المنزلية,47629.85,نعم,نشط,نشط,0505568415 / 0553786674
1945,مؤسسة جبال التل للتجارة,47304.64,نعم,نشط,نشط,0503129711
2004,مؤسسة عبدالسلام محمد خميس ال خميس التجارية,46820.69,نعم,نشط,نشط,0501953579 / 0503709054
2181,مؤسسة فولت للاجهزة المنزلية1,46771.50,نعم,نشط,نشط,0503331682
2033,مؤسسة هوم شرهان التجارية,46525.05,نعم,نشط,نشط,0531673485
2250,شركة إيدورا,46500.05,نعم,نشط,نشط,0564968768
1260,تركي عبدالله الجديد0559025879,46106.17,نعم,موقوف,نشط,0559025879
2150,شركة الاجهزة والتجهيزات للتجارة,46052.25,نعم,نشط,نشط,0559559507
1952,شركة سلة الجمش للتجارة,45946.20,نعم,نشط,نشط,0508999555
1984,مؤسسة جوهرة بيتك التجارية,45345.24,نعم,نشط,نشط,056990600
1386,مؤسسة البيت العالمي,44934.85,نعم,موقوف,نشط,0566500722
1471,مؤسسة امجاد الاندلس للاجهزة المنزلية,44595.39,نعم,نشط,نشط,0567065975 / 0505478759
1277,محل بيت الحديثة للأجهزة المنزلية,44120.50,نعم,نشط,نشط,0559394038 / 0509081651
1077,احمد صالح المحاسن,43635.48,نعم,موقوف,نشط,0555122063
1683,مؤسسة موج البحر للأجهزة الالكترونية,43451.84,نعم,نشط,نشط,0532365695
2086,مؤسسة ضياء الوطن للأجهزة المنزلية,42937.53,نعم,نشط,نشط,0557779786 / 0594347945
1349,مؤسسة ابراهيم صالح عبدالله ال رجب التجارية,42459.54,نعم,نشط,نشط,0505740899
1368,مؤسسة محل الجزيرة الحديث للأجهزة المنزلية,41847.90,نعم,موقوف,نشط,0559014634
1880,مؤسسة نهار غالي القرشي للتجارة,41567.51,نعم,نشط,نشط,0553410078
1451,شركة سلسبيل النسيم للتجارة,41369.13,نعم,نشط,نشط,966568757568 / 0568757568
1088,مؤسسة نقطة الضوء للتجارة,40406.88,نعم,موقوف,نشط,0508030328
2196,مؤسسة سعد محمد عويضه القحطاني التجارية,40199.30,نعم,موقوف,نشط,0555960078
1758,مؤسسة فهد علي سليمان السبيعي للتجارة,39947.45,نعم,نشط,نشط,0533559927
2087,مؤسسة الباز الابيض للاجهزة المنزلية,39587.75,نعم,نشط,نشط,0599908828 / 0563758792
1166,شركة الجزيرة الماسي للتجارة,39323.70,نعم,نشط,نشط,0500880901
1912,مؤسسة محمد حماد حمدان الثمالي للاجهزة المنزلية,39232.99,نعم,نشط,نشط,0554608400 / 0506459110
1096,محل جوزاء صغير الحربي للاجهزة الالكترونية,38733.85,نعم,نشط,نشط,0507866291
1739,مؤسسة امواج الاندلس للتجارة,38398.49,نعم,نشط,نشط,0541497112
1276,محل ركن الخيالة للأجهزة الإلكترونية,38356.86,نعم,نشط,نشط,0507679349 / 0555205990
1281,مؤسسة عبدالله صالح العتيبي للمقاولات  alothaibi,38294.70,نعم,نشط,نشط,0552668418
1761,شركة رائد التخفيضات,37921.95,نعم,نشط,نشط,0534002223
1372,مؤسسة فوزية الدليم التجارية -  رفحا - دبي للاكترونيات,37905.16,نعم,نشط,نشط,0550586072
1190,مؤسسة صفوة الاجهزة الاجهزة للتجارة,36601.84,نعم,نشط,نشط,0555188907
1746,مؤسسة لقمان صالح حامد العمري للاجهزة الالكترونية,36369.86,نعم,موقوف,نشط,05
1848,مؤسسة منبع التكييف ااتجارة1,36343.47,نعم,نشط,نشط,0536635042
1813,مؤسسة الرواد الحديثة للاجهزة المنزلية,36260.69,نعم,نشط,نشط,0500722193 / 0500733193
1237,مؤسسة حمود يحي احمدبشيري للتجارة,36145.60,نعم,موقوف,نشط,0535505105
2154,مؤسسة التقدم والانجاز للتجارة,35992.38,نعم,نشط,نشط,0555963170 / 0555963173
1754,مؤسسة فجر الخميس التجارية,35942.04,نعم,نشط,نشط,0542469390
1312,مجموعة اعمار الخليج الدولية للمقاولات,35733.15,نعم,نشط,نشط,0565410525
1230,شركة عبد العزيز حسن الشثري للاجهزه المنزليه والتكييف,35565.95,نعم,نشط,نشط,0598127100
1273,محل نادية عمر العقيدي لاكترونيات,35499.52,نعم,نشط,نشط,0500326463
2131,مؤسسة عبدالرحيم قبل صنيدح العتيبي للأجهزة الإلكترونية,35412.60,نعم,نشط,نشط,0501918300
1204,مؤسسة صوت نجد للتجارة,35343.30,نعم,موقوف,نشط,0503166259
1757,مؤسسة جنا الحزم للتجارة عميل الحوبة,35004.93,نعم,نشط,نشط,0555410781 / 0555410791
1887,شركة الاجهزة المطورة التجارية,34842.39,نعم,نشط,نشط,0501200980
2089,شركة الافق الذهبية للاجهزة المنزلية,34388.50,نعم,نشط,نشط,0583730466 / 0569221657
2060,مؤسسة روابي البتراء,34337.75,نعم,موقوف,نشط,0569418979
2204,شركة عالم المستقبل الشامل للاجهزة الإلكترونية,34066.15,نعم,نشط,نشط,0543083304
1802,مؤسسة معاذ يحيى احمد بشيري,33846.18,نعم,نشط,نشط,0530394334
1997,شركة عمر زايد المحطب وعبدالمحسن زايد المحطب التجارية,33762.85,نعم,نشط,نشط,0560777475
1770,مؤسسة نهار العمار اللمقاولات,33693.00,نعم,موقوف,نشط,
1363,alshams raffah رفاه الشمس,33077.07,نعم,نشط,نشط,0501155823
1986,مؤسسة الاتحاد ثري التجارية,32977.00,نعم,نشط,نشط,0509929032
1777,مؤسسة عاصمة الاجهزة للتجارة,32894.80,نعم,نشط,نشط,0597073050 / 0551671007
1278,subi مؤسسة صالحة الهلالي- سوبي,32846.47,نعم,نشط,نشط,0507708538
1016,شركة سلاطين الاجهزة التجارية,32836.70,نعم,نشط,نشط,0548712820
1070,مؤسسة تركي حسن يوسف عسيري التجارية,32822.76,نعم,نشط,نشط, 0506098729 / 0506098729
2058,مؤسسة دار سلتي للتجارة,32760.30,نعم,موقوف,نشط,0507570647
1507,شركة انماء امن للتجارة,32569.00,نعم,نشط,نشط,0540630143
2003,مؤسسة مريم سعيد احمد العبدليه,32158.45,نعم,نشط,نشط,0532359791
2180,مؤسسة عبدالرحمن بن زيد محمد التميمي,31853.60,نعم,نشط,نشط,0538207695
1385,عبدالرحمن KMC,31804.40,نعم,نشط,نشط,
1375,manal  hafar   منال,31729.32,نعم,نشط,نشط,0551267843
1885,شركة دقة الأنوار التجارية,31609.40,نعم,نشط,نشط,0565743944 / 0555566186
1561,مؤسسة الاوصاف للأجهزة الالكترونية,31607.97,نعم,موقوف,نشط,0536416918
1224,مؤسسة فلاح عبدالله بن محمد القحطاني التجارية,31588.97,نعم,نشط,نشط,0562092275
2220,شركة حار بارد التجاربة,31572.21,نعم,نشط,نشط,0506255599
1944,شركة ضركام الدولية للتجارة شركة شخص واحد,30532.15,نعم,نشط,نشط,0563409001 / 0125488854
1753,مؤسسة الهواء الوطني للمقاولات,30297.42,نعم,نشط,نشط,0575521609
1266,يحي kmc الدمام0555438905,30283.00,نعم,موقوف,نشط,
2077,شركة الاصيل للاجهزة المنزلية,30081.90,نعم,نشط,نشط,0502790883
2051,شركة المدينة هايبرد للتجارة ( فرع طويق ),29926.93,نعم,نشط,نشط,0550661491 / 0500194678
2038,مؤسسة ابراهيم محمد الصروي الزبيدي للتجارة,29835.72,نعم,نشط,نشط,0502342972 / 0500301080
2056,مؤسسة متخصصو الريادة التجارية,29797.46,نعم,نشط,نشط,0565553330 / 0559469203
1065,مؤسسة سعد مسفر القحطاني التجارية,29751.50,نعم,نشط,نشط,0566708989
1671,شركة بلادي المتميزة التجارية,29717.21,نعم,نشط,نشط,0507154915 / 0508889843
2156,شركة كنز الشتاء للمفارش,29665.83,نعم,نشط,نشط,0537484604
1870,شركة نجمة النرجس للاجهزة المنزلية,29587.76,نعم,نشط,نشط,0582572269
2126,شركة مخازن المملكة العالمية التجارية فرع حفر الباطن,29470.90,نعم,نشط,نشط,0506956866
1823,مؤسسة رواد العصر الذهبي للاجهزة المنزلية,29180.35,نعم,نشط,نشط,0504608946
2065,شركة كنوز العالمية المحدودة - مركز المدينة,29110.41,نعم,نشط,نشط,0559024426
2023,مؤسسة طيف السماحة للتجارة,29035.90,نعم,نشط,نشط,0504272022
1271,مؤسسة بيت الخرج للأجهزة المنزلية,29023.56,نعم,نشط,نشط,0593333328
2205,مؤسسة غالية علي عبدالله الزهراني للأجهزة الإلكترونية,28853.00,نعم,نشط,نشط,0509242270
2062,مؤسسة عالم الفهد التجارية لصاحبها فهد صالح الحربي,28523.94,نعم,نشط,نشط,0555326494
1215,موسسة سارة الشهري للتجاره,28308.90,نعم,موقوف,موقوف,0555406040
2092,شركة الميعاد الذهبي للأجهزة المنزلية - شركة شخص واحد,28267.19,نعم,موقوف,نشط,0556525721
1297,مركز كمبيوتر arkaz computer,28131.96,نعم,نشط,نشط,0533601367
1026,شركة ماجد الذهبية التجارية,28001.85,نعم,نشط,نشط,0555677233 / 0555666215
2147,شركة مخازن المملكة العالمية التجارية فرع طويق,27810.10,نعم,نشط,نشط,0506956866 / 0534475103
1296,شركة كنز العالمية المحدوده-الخرمة,27710.89,نعم,نشط,نشط,0533724680 / 0507178656
1755,مؤسسة الجهاز الذهبي للاجهزة المنزلية,27630.32,نعم,نشط,نشط,0591418225
1514,مؤسسة نجوم للتجارة,27504.71,نعم,موقوف,نشط,0532141464
1902,مؤسسة حدود المدينة التجارية,27449.90,نعم,نشط,نشط,0596665696
2090,شركة الافضل الحديث للتجارة,27328.25,نعم,موقوف,نشط,0566649992
1141,مؤسسة مروج الفهد للاجهزة المنزلية,27203.00,نعم,نشط,نشط,0502147890
1597,مؤسسة يعقوب علي خضير التجارية,26868.75,نعم,نشط,نشط,0506344483
2195,شركة رؤية المكاتب للتجارة,26625.95,نعم,نشط,نشط,0590779766
1249,شركة ساحل اريج0593179159,26373.00,نعم,موقوف,نشط,
1008,شركة محمد شحات محمد ابولبن التجارية,26134.55,نعم,نشط,نشط,0509696502 / 0509687678
1151,مؤسسة روز شبكة العالم,25906.77,نعم,نشط,نشط,0541046650 / 0574040375
1877,محل عالية للاجهزة المنزلية,25305.00,نعم,نشط,نشط,0541705577
1055,مؤسسة حاتم عبدالرحمن عبدالله عسيري التجارية,24994.50,نعم,نشط,نشط,0501793796
1557,شركة سما الخير للتجارة - الرئيسي,24897.49,نعم,نشط,نشط,0506298107
2137,شركة العثمان التجارية,24870.15,نعم,نشط,نشط,0582028222
1858,مؤسسة وان للتجارة,24835.40,نعم,نشط,نشط,0551321272
2050,مؤسسة مشهور عائد ظاهر البلوي,24830.19,نعم,نشط,نشط,0509520157 / 0500210205
1460,مؤسسة نسمات التكيف للتجارة,24681.45,نعم,موقوف,نشط,0509326693
2341,مؤسسة تقنية البرودة التجارية,24496.70,نعم,نشط,نشط,0532983944
1125,مؤسسة غزيل الشراري - روان طبرجل,24409.43,نعم,موقوف,نشط,0542305978
1913,مؤسسة اركان الفصول للتجارة,24313.00,نعم,نشط,نشط,0555473659
2199,شركة المستقبل المتكامل للتجارة,23997.31,نعم,نشط,نشط,0500626051
1539,مؤسسة قمة الهدف للأجهزة المنزلية,23844.35,نعم,نشط,نشط,0577833694
2316,شركة لين ستار المحدودة,23823.77,نعم,نشط,نشط,0552333581
2269,شركة المتمكن للتجارة,23678.75,نعم,نشط,نشط,0548313425
1915,مؤسسة ابداع الرواد للاجهزه المنزلية,23581.77,نعم,موقوف,نشط,0508634566 / 0127330188
1699,مؤسسة المنزل المخفض التجارية,23195.00,نعم,نشط,نشط,0503129711
2363,محمد بن مبخوت بن جربوع الصيعري,23057.00,نعم,نشط,نشط,0502385234
1227,مؤسسة هيام عايد البيشي,22729.13,نعم,نشط,نشط,0558538024
1627,شركة الهيثم الشامل للتجارة,22621.80,نعم,نشط,نشط,0502523816
1423,شركة مجد الاوائل للتجارة,22529.60,نعم,نشط,نشط,0558857807
